Disease	Gene symbol	Inheritance	Inheritance detail	OMIM_ID	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	Associated features	Major category	Subcategory	ICD9	ICD10	HPO (table)	HPO (subtable)	UniProt	Ensembl	OMIM	GWAS	omni	gnomAD r2 GRCh37	gnomAD r3 GRCh38	pdb	HGNC	ORPHA	HPO	AmiGo	Alpha Fold	Gemma	ClinGen
ATP6AP1 deficiency	ATP6AP1	XL	NA	300197	NA	NA	Variable	NA	NA	Hepatopathy, leukopenia, low copper	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/ATP6AP1	ensembl.org/ATP6AP1	omim.org/ATP6AP1	GWAS/ATP6AP1	omni/ATP6AP1	gnomad.org/r2ATP6AP1	gnomad.org/r3ATP6AP1	rcsb.org/ATP6AP1	genenames.org/ATP6AP1	hpo/ORPHA/ATP6AP1	hpo.jax.org/ATP6AP1	amigo.org/ATP6AP1	alphafold/ATP6AP1	gemma/ATP6AP1	clinicalgenome.org/ATP6AP1
CD19 deficiency	CD19	AR	NA	107265	NA	NA	Low	NA	NA	Recurrent infections, may have glomerulonephritis	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/CD19	ensembl.org/CD19	omim.org/CD19	GWAS/CD19	omni/CD19	gnomad.org/r2CD19	gnomad.org/r3CD19	rcsb.org/CD19	genenames.org/CD19	hpo/ORPHA/CD19	hpo.jax.org/CD19	amigo.org/CD19	alphafold/CD19	gemma/CD19	clinicalgenome.org/CD19
CD20 deficiency	CD20	AR	NA	112210	NA	NA	Low	NA	NA	Recurrent infections	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/CD20	ensembl.org/CD20	omim.org/CD20	GWAS/CD20	omni/CD20	gnomad.org/r2CD20	gnomad.org/r3CD20	rcsb.org/CD20	genenames.org/CD20	hpo/ORPHA/CD20	hpo.jax.org/CD20	amigo.org/CD20	alphafold/CD20	gemma/CD20	clinicalgenome.org/CD20
CD21 deficiency	CD21	AR	NA	120650	NA	NA	Low	NA	NA	Recurrent infections	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/CD21	ensembl.org/CD21	omim.org/CD21	GWAS/CD21	omni/CD21	gnomad.org/r2CD21	gnomad.org/r3CD21	rcsb.org/CD21	genenames.org/CD21	hpo/ORPHA/CD21	hpo.jax.org/CD21	amigo.org/CD21	alphafold/CD21	gemma/CD21	clinicalgenome.org/CD21
CD81 deficiency	CD81	AR	NA	186845	NA	NA	Low	NA	NA	Recurrent infections, may have glomerulonephritis	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/CD81	ensembl.org/CD81	omim.org/CD81	GWAS/CD81	omni/CD81	gnomad.org/r2CD81	gnomad.org/r3CD81	rcsb.org/CD81	genenames.org/CD81	hpo/ORPHA/CD81	hpo.jax.org/CD81	amigo.org/CD81	alphafold/CD81	gemma/CD81	clinicalgenome.org/CD81
IKAROS haplosufficiency	IKZF1	AD	haploinsufficiency	603023	Normal	Declining	Low	NA	NA	Recurrent sinopulmonary infections	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/IKZF1	ensembl.org/IKZF1	omim.org/IKZF1	GWAS/IKZF1	omni/IKZF1	gnomad.org/r2IKZF1	gnomad.org/r3IKZF1	rcsb.org/IKZF1	genenames.org/IKZF1	hpo/ORPHA/IKZF1	hpo.jax.org/IKZF1	amigo.org/IKZF1	alphafold/IKZF1	gemma/IKZF1	clinicalgenome.org/IKZF1
IRF2BP2 deficiency	IRF2BP2	AD	NA	615332	NA	NA	NA	NA	NA	Recurrent infections, possible autoimmunity and inflammatory disease	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/IRF2BP2	ensembl.org/IRF2BP2	omim.org/IRF2BP2	GWAS/IRF2BP2	omni/IRF2BP2	gnomad.org/r2IRF2BP2	gnomad.org/r3IRF2BP2	rcsb.org/IRF2BP2	genenames.org/IRF2BP2	hpo/ORPHA/IRF2BP2	hpo.jax.org/IRF2BP2	amigo.org/IRF2BP2	alphafold/IRF2BP2	gemma/IRF2BP2	clinicalgenome.org/IRF2BP2
Mannosyl-oligosaccharide glucosidase deficiency MOGS	MOGS	AR	NA	601336	Normal	Normal	Low	NA	NA	Bacterial and viral  infections,  severe neurologic disease, also known as congenital disorder of glycosylation type IIb CDG-IIb (GCS1)	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	NA	NA	HP:0002715	HP:0005403	uniprot.org/MOGS	ensembl.org/MOGS	omim.org/MOGS	GWAS/MOGS	omni/MOGS	gnomad.org/r2MOGS	gnomad.org/r3MOGS	rcsb.org/MOGS	genenames.org/MOGS	hpo/ORPHA/MOGS	hpo.jax.org/MOGS	amigo.org/MOGS	alphafold/MOGS	gemma/MOGS	clinicalgenome.org/MOGS
NFKB1 deficiency	NFKB1	AD	NA	164011	NA	NA	NA	NA	NA	Recurrent sinopulmonary infections, COPD, EBV proliferation, autoimmune cytopenias, alopecia and autoimmune thyroiditis	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/NFKB1	ensembl.org/NFKB1	omim.org/NFKB1	GWAS/NFKB1	omni/NFKB1	gnomad.org/r2NFKB1	gnomad.org/r3NFKB1	rcsb.org/NFKB1	genenames.org/NFKB1	hpo/ORPHA/NFKB1	hpo.jax.org/NFKB1	amigo.org/NFKB1	alphafold/NFKB1	gemma/NFKB1	clinicalgenome.org/NFKB1
NFKB2 deficiency	NFKB2	AD	NA	615577	NA	NA	NA	NA	NA	Recurrent sinopulmonary infections, alopecia and endorinopathies	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/NFKB2	ensembl.org/NFKB2	omim.org/NFKB2	GWAS/NFKB2	omni/NFKB2	gnomad.org/r2NFKB2	gnomad.org/r3NFKB2	rcsb.org/NFKB2	genenames.org/NFKB2	hpo/ORPHA/NFKB2	hpo.jax.org/NFKB2	amigo.org/NFKB2	alphafold/NFKB2	gemma/NFKB2	clinicalgenome.org/NFKB2
PIK3CD mutation GOF APDS1	PIK3CD	AD	NA	602839	NA	increased immature B cells, reduced memory B cells and increased transitional B cells	Normal/increased IgM, reduced IgG and IgA	NA	NA	Severe bacterial infections, EBV ± CMV viremia, autoimmunity, lymphadenopathy/splenomegaly,lymphoproliferation, lymphoma	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/PIK3CD	ensembl.org/PIK3CD	omim.org/PIK3CD	GWAS/PIK3CD	omni/PIK3CD	gnomad.org/r2PIK3CD	gnomad.org/r3PIK3CD	rcsb.org/PIK3CD	genenames.org/PIK3CD	hpo/ORPHA/PIK3CD	hpo.jax.org/PIK3CD	amigo.org/PIK3CD	alphafold/PIK3CD	gemma/PIK3CD	clinicalgenome.org/PIK3CD
PIK3CG deficiency	PIK3CG	AR	NA	NA	Normal CD4 but low Treg, low CD8, poor proliferation	Normal but diminished memory	Low with preserved vaccine resposnes	NA	Eosinophilia	Adenopathy, splenomegaly, HLH-like	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/PIK3CG	ensembl.org/PIK3CG	omim.org/PIK3CG	GWAS/PIK3CG	omni/PIK3CG	gnomad.org/r2PIK3CG	gnomad.org/r3PIK3CG	rcsb.org/PIK3CG	genenames.org/PIK3CG	hpo/ORPHA/PIK3CG	hpo.jax.org/PIK3CG	amigo.org/PIK3CG	alphafold/PIK3CG	gemma/PIK3CG	clinicalgenome.org/PIK3CG
PIK3R1 deficiency LOF APDS2	PIK3R1	AD	NA	616005	NA	increased immature B cells, reduced memory B cells and increased transitional B cells	Normal/increased IgM, reduced IgG and IgA	NA	NA	Severe bacterial infections, lymphadenopathy/splenomegaly,lymphoproliferation, lymphoma; developmental delay	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/PIK3R1	ensembl.org/PIK3R1	omim.org/PIK3R1	GWAS/PIK3R1	omni/PIK3R1	gnomad.org/r2PIK3R1	gnomad.org/r3PIK3R1	rcsb.org/PIK3R1	genenames.org/PIK3R1	hpo/ORPHA/PIK3R1	hpo.jax.org/PIK3R1	amigo.org/PIK3R1	alphafold/PIK3R1	gemma/PIK3R1	clinicalgenome.org/PIK3R1
POU2AF1 deficiency	POU2AF1	AR	NA	NA	Normal numbers T cells, decreased  cTfh cells	Normal B cell numbers, decreased  switched memory B cells, and  altered B cell phenotype	Agammaglobulinemia	NA	NA	Recurrent respiratory infections, possible chronic viral infection	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	NA	NA	NA	NA	uniprot.org/POU2AF1	ensembl.org/POU2AF1	omim.org/POU2AF1	GWAS/POU2AF1	omni/POU2AF1	gnomad.org/r2POU2AF1	gnomad.org/r3POU2AF1	rcsb.org/POU2AF1	genenames.org/POU2AF1	hpo/ORPHA/POU2AF1	hpo.jax.org/POU2AF1	amigo.org/POU2AF1	alphafold/POU2AF1	gemma/POU2AF1	clinicalgenome.org/POU2AF1
PTEN Deficiency LOF	PTEN	AD	NA	601728	NA	NA	Normal to low	NA	NA	Recurrent infections, Lymphoproliferation, Autoimmunity; developmental delay	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/PTEN	ensembl.org/PTEN	omim.org/PTEN	GWAS/PTEN	omni/PTEN	gnomad.org/r2PTEN	gnomad.org/r3PTEN	rcsb.org/PTEN	genenames.org/PTEN	hpo/ORPHA/PTEN	hpo.jax.org/PTEN	amigo.org/PTEN	alphafold/PTEN	gemma/PTEN	clinicalgenome.org/PTEN
RAC2 deficiency	RAC2	AR	NA	602049	NA	NA	Low	NA	NA	Recurrent sinopulmonary infections, selective IgA defiency; poststreptococcal glomerulonephritis; urticaria	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	NA	NA	HP:0002715	HP:0004313	uniprot.org/RAC2	ensembl.org/RAC2	omim.org/RAC2	GWAS/RAC2	omni/RAC2	gnomad.org/r2RAC2	gnomad.org/r3RAC2	rcsb.org/RAC2	genenames.org/RAC2	hpo/ORPHA/RAC2	hpo.jax.org/RAC2	amigo.org/RAC2	alphafold/RAC2	gemma/RAC2	clinicalgenome.org/RAC2
SEC61A1  deficiency	SEC61A1	AD	NA	609213	NA	NA	Low	NA	NA	Severe recurrent respiratory tract infections	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	NA	NA	HP:0002715	HP:0004313	uniprot.org/SEC61A1	ensembl.org/SEC61A1	omim.org/SEC61A1	GWAS/SEC61A1	omni/SEC61A1	gnomad.org/r2SEC61A1	gnomad.org/r3SEC61A1	rcsb.org/SEC61A1	genenames.org/SEC61A1	hpo/ORPHA/SEC61A1	hpo.jax.org/SEC61A1	amigo.org/SEC61A1	alphafold/SEC61A1	gemma/SEC61A1	clinicalgenome.org/SEC61A1
SH3KBP1 CIN85 deficiency	SH3KBP1	XL	NA	300310	NA	NA	Low	NA	NA	Severe bacterial infections	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	NA	NA	HP:0002715	HP:0004313	uniprot.org/SH3KBP1	ensembl.org/SH3KBP1	omim.org/SH3KBP1	GWAS/SH3KBP1	omni/SH3KBP1	gnomad.org/r2SH3KBP1	gnomad.org/r3SH3KBP1	rcsb.org/SH3KBP1	genenames.org/SH3KBP1	hpo/ORPHA/SH3KBP1	hpo.jax.org/SH3KBP1	amigo.org/SH3KBP1	alphafold/SH3KBP1	gemma/SH3KBP1	clinicalgenome.org/SH3KBP1
TACI deficiency	TNFRSF13B	AD/AR	NA	604907	NA	NA	Normal to low	NA	NA	Variable clinical expression	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/TNFRSF13B	ensembl.org/TNFRSF13B	omim.org/TNFRSF13B	GWAS/TNFRSF13B	omni/TNFRSF13B	gnomad.org/r2TNFRSF13B	gnomad.org/r3TNFRSF13B	rcsb.org/TNFRSF13B	genenames.org/TNFRSF13B	hpo/ORPHA/TNFRSF13B	hpo.jax.org/TNFRSF13B	amigo.org/TNFRSF13B	alphafold/TNFRSF13B	gemma/TNFRSF13B	clinicalgenome.org/TNFRSF13B
BAFF receptor deficiency	TNFRSF13C	AR	NA	606269	NA	NA	Low	NA	NA	Variable clinical expression	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/TNFRSF13C	ensembl.org/TNFRSF13C	omim.org/TNFRSF13C	GWAS/TNFRSF13C	omni/TNFRSF13C	gnomad.org/r2TNFRSF13C	gnomad.org/r3TNFRSF13C	rcsb.org/TNFRSF13C	genenames.org/TNFRSF13C	hpo/ORPHA/TNFRSF13C	hpo.jax.org/TNFRSF13C	amigo.org/TNFRSF13C	alphafold/TNFRSF13C	gemma/TNFRSF13C	clinicalgenome.org/TNFRSF13C
TWEAK deficiency	TNFSF12	AD	NA	602695	NA	NA	Low IgM and A, lack of anti-pneumococcal  antibody	Low	NA	Pneumonia, bacterial infections, warts, thrombocytopenia.	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/TNFSF12	ensembl.org/TNFSF12	omim.org/TNFSF12	GWAS/TNFSF12	omni/TNFSF12	gnomad.org/r2TNFSF12	gnomad.org/r3TNFSF12	rcsb.org/TNFSF12	genenames.org/TNFSF12	hpo/ORPHA/TNFSF12	hpo.jax.org/TNFSF12	amigo.org/TNFSF12	alphafold/TNFSF12	gemma/TNFSF12	clinicalgenome.org/TNFSF12
TRNT1 deficiency	TRNT1	AR	NA	612907	NA	Low	Low	NA	NA	congenital sideroblastic anemia, deafness, developmental delay	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313	uniprot.org/TRNT1	ensembl.org/TRNT1	omim.org/TRNT1	GWAS/TRNT1	omni/TRNT1	gnomad.org/r2TRNT1	gnomad.org/r3TRNT1	rcsb.org/TRNT1	genenames.org/TRNT1	hpo/ORPHA/TRNT1	hpo.jax.org/TRNT1	amigo.org/TRNT1	alphafold/TRNT1	gemma/TRNT1	clinicalgenome.org/TRNT1
AID deficiency	AICDA	AR	NA	605257	NA	NA	Low IgG and IgA with normal or high IgM	NA	NA	Bacterial infections, enlarged lymph nodes and germinal centers	Table 3 Predominantly Antibody Deficiencies	Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM	279.05	D80.5	HP:0002715	HP:0004313	uniprot.org/AICDA	ensembl.org/AICDA	omim.org/AICDA	GWAS/AICDA	omni/AICDA	gnomad.org/r2AICDA	gnomad.org/r3AICDA	rcsb.org/AICDA	genenames.org/AICDA	hpo/ORPHA/AICDA	hpo.jax.org/AICDA	amigo.org/AICDA	alphafold/AICDA	gemma/AICDA	clinicalgenome.org/AICDA
AID deficiency	AICDA	AD	NA	605257*	NA	Normal	Low IgG and IgA with normal or high IgM	NA	NA	Bacterial infections, enlarged lymph nodes and germinal centers	Table 3 Predominantly Antibody Deficiencies	Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM	NA	NA	HP:0002715	HP:0004313	uniprot.org/AICDA	ensembl.org/AICDA	omim.org/AICDA	GWAS/AICDA	omni/AICDA	gnomad.org/r2AICDA	gnomad.org/r3AICDA	rcsb.org/AICDA	genenames.org/AICDA	hpo/ORPHA/AICDA	hpo.jax.org/AICDA	amigo.org/AICDA	alphafold/AICDA	gemma/AICDA	clinicalgenome.org/AICDA
CTNNBL1 deficiency	CTNNBL1	AR	NA	NA	Low, poor proliferation	Normal with low memory cells	Progressive hypogammaglobulinemia, impaired CSR, SHM	NA	NA	Hyperplastic GC	Table 3 Predominantly Antibody Deficiencies	Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM	279.05	D80.5	HP:0002715	HP:0004313	uniprot.org/CTNNBL1	ensembl.org/CTNNBL1	omim.org/CTNNBL1	GWAS/CTNNBL1	omni/CTNNBL1	gnomad.org/r2CTNNBL1	gnomad.org/r3CTNNBL1	rcsb.org/CTNNBL1	genenames.org/CTNNBL1	hpo/ORPHA/CTNNBL1	hpo.jax.org/CTNNBL1	amigo.org/CTNNBL1	alphafold/CTNNBL1	gemma/CTNNBL1	clinicalgenome.org/CTNNBL1
INO80	INO80	AR	NA	610169	NA	NA	Low IgG and IgA with normal or high IgM	NA	NA	Severe bacterial infections	Table 3 Predominantly Antibody Deficiencies	Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM	279.05	D80.5	HP:0002715	HP:0004313	uniprot.org/INO80	ensembl.org/INO80	omim.org/INO80	GWAS/INO80	omni/INO80	gnomad.org/r2INO80	gnomad.org/r3INO80	rcsb.org/INO80	genenames.org/INO80	hpo/ORPHA/INO80	hpo.jax.org/INO80	amigo.org/INO80	alphafold/INO80	gemma/INO80	clinicalgenome.org/INO80
MSH6	MSH6	AR	NA	600678	NA	NA	Low IgG and IgA with normal or high IgM	NA	NA	Family or personal history of cancer	Table 3 Predominantly Antibody Deficiencies	Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM	279.05	D80.5	HP:0002715	HP:0004313	uniprot.org/MSH6	ensembl.org/MSH6	omim.org/MSH6	GWAS/MSH6	omni/MSH6	gnomad.org/r2MSH6	gnomad.org/r3MSH6	rcsb.org/MSH6	genenames.org/MSH6	hpo/ORPHA/MSH6	hpo.jax.org/MSH6	amigo.org/MSH6	alphafold/MSH6	gemma/MSH6	clinicalgenome.org/MSH6
TNFSF13 APRIL deficiency	TNFSF13	AR	NA	NA	Normal	Normal B cell count with low memory B cells and plasmablasts	Low IgG	NA	NA	Mild infections	Table 3 Predominantly Antibody Deficiencies	Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM	279.05	D80.5	HP:0002715	HP:0004313	uniprot.org/TNFSF13	ensembl.org/TNFSF13	omim.org/TNFSF13	GWAS/TNFSF13	omni/TNFSF13	gnomad.org/r2TNFSF13	gnomad.org/r3TNFSF13	rcsb.org/TNFSF13	genenames.org/TNFSF13	hpo/ORPHA/TNFSF13	hpo.jax.org/TNFSF13	amigo.org/TNFSF13	alphafold/TNFSF13	gemma/TNFSF13	clinicalgenome.org/TNFSF13
UNG deficiency	UNG	AR	NA	191525	NA	NA	Low IgG and IgA with normal or high IgM	NA	NA	Enlarged lymph nodes and germinal centers	Table 3 Predominantly Antibody Deficiencies	Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM	279.05	D80.5	HP:0002715	HP:0004313	uniprot.org/UNG	ensembl.org/UNG	omim.org/UNG	GWAS/UNG	omni/UNG	gnomad.org/r2UNG	gnomad.org/r3UNG	rcsb.org/UNG	genenames.org/UNG	hpo/ORPHA/UNG	hpo.jax.org/UNG	amigo.org/UNG	alphafold/UNG	gemma/UNG	clinicalgenome.org/UNG
Isolated IgG subclass deficiency	 	NA	NA	NA	Normal	Normal	Variable	NA	NA	Usually asymptomatic, a minority may have poor antibody response to specific antigens and recurrent viral/bacterial infections	Table 3 Predominantly Antibody Deficiencies	Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells	279.03	D80.3	HP:0002715	HP:0032135	uniprot.org/ 	ensembl.org/ 	omim.org/ 	GWAS/ 	omni/ 	gnomad.org/r2 	gnomad.org/r3 	rcsb.org/ 	genenames.org/ 	hpo/ORPHA/ 	hpo.jax.org/ 	amigo.org/ 	alphafold/ 	gemma/ 	clinicalgenome.org/ 
IgG subclass deficiency with IgA deficiency	 	NA	NA	NA	Normal	Normal	Variable total IgG with low IgA	NA	NA	Recurrent bacterial infections	Table 3 Predominantly Antibody Deficiencies	Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells	279.03	D80.3	HP:0002715	HP:0032135	uniprot.org/ 	ensembl.org/ 	omim.org/ 	GWAS/ 	omni/ 	gnomad.org/r2 	gnomad.org/r3 	rcsb.org/ 	genenames.org/ 	hpo/ORPHA/ 	hpo.jax.org/ 	amigo.org/ 	alphafold/ 	gemma/ 	clinicalgenome.org/ 
Selective IgA deficiency	 	NA	NA	NA	Normal	Normal	Low IgA	NA	NA	Bacterial infections, autoimmunity mildly increased	Table 3 Predominantly Antibody Deficiencies	Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells	279.01	D80.2	HP:0002715	HP:0002720	uniprot.org/ 	ensembl.org/ 	omim.org/ 	GWAS/ 	omni/ 	gnomad.org/r2 	gnomad.org/r3 	rcsb.org/ 	genenames.org/ 	hpo/ORPHA/ 	hpo.jax.org/ 	amigo.org/ 	alphafold/ 	gemma/ 	clinicalgenome.org/ 
Specific antibody deficiency with normal Ig levels and normal B cells	 	NA	NA	NA	Normal	Normal	Normal	NA	NA	Reduced ability to produce antibodies to specific antigens	Table 3 Predominantly Antibody Deficiencies	Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells	279.03	D80.6	HP:0002715	HP:0012475	uniprot.org/ 	ensembl.org/ 	omim.org/ 	GWAS/ 	omni/ 	gnomad.org/r2 	gnomad.org/r3 	rcsb.org/ 	genenames.org/ 	hpo/ORPHA/ 	hpo.jax.org/ 	amigo.org/ 	alphafold/ 	gemma/ 	clinicalgenome.org/ 
Transient hypogammaglobuliemia of infancy	 	NA	NA	NA	Normal	Normal	Low	NA	NA	Normal ability to produce antibodies to vaccine antigens, usually not associated with significant infections	Table 3 Predominantly Antibody Deficiencies	Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells	279	D80.7	HP:0002715	HP:0004313	uniprot.org/ 	ensembl.org/ 	omim.org/ 	GWAS/ 	omni/ 	gnomad.org/r2 	gnomad.org/r3 	rcsb.org/ 	genenames.org/ 	hpo/ORPHA/ 	hpo.jax.org/ 	amigo.org/ 	alphafold/ 	gemma/ 	clinicalgenome.org/ 
Selective IgM  deficiency	 	NA	NA	NA	NA	NA	Low IgM	NA	NA	Pneumococcal / bacterial infections	Table 3 Predominantly Antibody Deficiencies	Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells	279.02	D80.4	HP:0002715	HP:0010701	uniprot.org/ 	ensembl.org/ 	omim.org/ 	GWAS/ 	omni/ 	gnomad.org/r2 	gnomad.org/r3 	rcsb.org/ 	genenames.org/ 	hpo/ORPHA/ 	hpo.jax.org/ 	amigo.org/ 	alphafold/ 	gemma/ 	clinicalgenome.org/ 
CARD11 GOF	CARD11	AD	GOF	607210	NA	High	NA	NA	NA	Splenomegaly, lymphadenopathy, poor vaccine response	Table 3 Predominantly Antibody Deficiencies	Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells	279.03	D80.9	HP:0002715	HP:0004313	uniprot.org/CARD11	ensembl.org/CARD11	omim.org/CARD11	GWAS/CARD11	omni/CARD11	gnomad.org/r2CARD11	gnomad.org/r3CARD11	rcsb.org/CARD11	genenames.org/CARD11	hpo/ORPHA/CARD11	hpo.jax.org/CARD11	amigo.org/CARD11	alphafold/CARD11	gemma/CARD11	clinicalgenome.org/CARD11
Kappa chain deficiency	IGKC	AR	NA	147200	Normal	Normal	NA	NA	NA	Asymptomatic	Table 3 Predominantly Antibody Deficiencies	Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells	279.03	D80.3	HP:0002715	HP:0010701	uniprot.org/IGKC	ensembl.org/IGKC	omim.org/IGKC	GWAS/IGKC	omni/IGKC	gnomad.org/r2IGKC	gnomad.org/r3IGKC	rcsb.org/IGKC	genenames.org/IGKC	hpo/ORPHA/IGKC	hpo.jax.org/IGKC	amigo.org/IGKC	alphafold/IGKC	gemma/IGKC	clinicalgenome.org/IGKC
Ig heavy chain mutations and deletions	Mutation	AR	NA	NA	Normal	Normal	Low	NA	NA	May be asymptomatic	Table 3 Predominantly Antibody Deficiencies	Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells	279	D80.3	HP:0002715	HP:0010701	uniprot.org/Mutation	ensembl.org/Mutation	omim.org/Mutation	GWAS/Mutation	omni/Mutation	gnomad.org/r2Mutation	gnomad.org/r3Mutation	rcsb.org/Mutation	genenames.org/Mutation	hpo/ORPHA/Mutation	hpo.jax.org/Mutation	amigo.org/Mutation	alphafold/Mutation	gemma/Mutation	clinicalgenome.org/Mutation
FAAP24 deficiency	FAAP24	AR	NA	610884	Increased activated T cells	Normal	NA	NA	NA	EBV infection-driven lymphoproliferative disease	Table 4 Diseases of Immune Dysregulation	Subtable 1 Familial Hemophagocytic Lymphohistiocytosis FHL syndromes	288.4	D76.1	HP:0002715	HP:0012156	uniprot.org/FAAP24	ensembl.org/FAAP24	omim.org/FAAP24	GWAS/FAAP24	omni/FAAP24	gnomad.org/r2FAAP24	gnomad.org/r3FAAP24	rcsb.org/FAAP24	genenames.org/FAAP24	hpo/ORPHA/FAAP24	hpo.jax.org/FAAP24	amigo.org/FAAP24	alphafold/FAAP24	gemma/FAAP24	clinicalgenome.org/FAAP24
Perforin deficiency FHL2	PRF1	AR	NA	170280	Increased activated T cells	Normal	Normal	Neutropenia with active HLH	NA	Fever, HSM,  Hemophagocytic lymphohistiocytosis HLH, cytopenias	Table 4 Diseases of Immune Dysregulation	Subtable 1 Familial Hemophagocytic Lymphohistiocytosis FHL syndromes	288.4	D76.1	HP:0002715	HP:0012156	uniprot.org/PRF1	ensembl.org/PRF1	omim.org/PRF1	GWAS/PRF1	omni/PRF1	gnomad.org/r2PRF1	gnomad.org/r3PRF1	rcsb.org/PRF1	genenames.org/PRF1	hpo/ORPHA/PRF1	hpo.jax.org/PRF1	amigo.org/PRF1	alphafold/PRF1	gemma/PRF1	clinicalgenome.org/PRF1
RHOG deficiency	RHOG	AR	NA	NA	NA	NA	NA	NA	NA	Clinical features of HLH hemophagocytosis, hepatosplenomegaly, fever, cytopenias, low hemoglobin, hyper-triglyceridemia, elevated ferritin/sCD25	Table 4 Diseases of Immune Dysregulation	Subtable 1 Familial Hemophagocytic Lymphohistiocytosis FHL syndromes	NA	NA	NA	NA	uniprot.org/RHOG	ensembl.org/RHOG	omim.org/RHOG	GWAS/RHOG	omni/RHOG	gnomad.org/r2RHOG	gnomad.org/r3RHOG	rcsb.org/RHOG	genenames.org/RHOG	hpo/ORPHA/RHOG	hpo.jax.org/RHOG	amigo.org/RHOG	alphafold/RHOG	gemma/RHOG	clinicalgenome.org/RHOG
